Employee_Id,Department,Region,Education,Gender,Recruitment_Channel,No_Of_Trainings,Age,Previous_Year_Rating,Length_Of_Service,Awards_Won,Avg_Training_Score,Performance_Rating_Category
30233,Sales & Marketing,Region_15,Bachelors,Male,Other,1,37,4,9,No,50,Excellent
66601,Operations,Region_13,Bachelors,Male,Other,2,42,3,12,No,60,Average
40276,R&D,Region_22,Masters & Above,Male,Sourcing,2,32,5,5,No,88,Excellent
1522,Operations,Region_13,Bachelors,Male,Other,1,45,3,3,No,60,Average
17936,Analytics,Region_29,Bachelors,Male,Other,1,28,3,7,No,83,Average
26270,Technology,Region_15,Masters & Above,Male,Sourcing,1,35,1,9,No,81,Poor
6837,Sales & Marketing,Region_4,Bachelors,Male,Other,3,28,3,5,No,48,Average
49665,Operations,Region_8,Bachelors,Female,Other,1,37,1,3,No,59,Poor
1908,Analytics,Region_4,Masters & Above,Male,Other,1,38,4,7,No,88,Excellent
6474,Procurement,Region_2,Bachelors,Female,Sourcing,1,31,1,6,No,68,Poor
27495,Operations,Region_2,Masters & Above,Male,Other,2,43,3,2,No,69,Average
24324,Operations,Region_23,Bachelors,Male,Other,1,32,3,2,No,62,Average
14299,Procurement,Region_2,Below Secondary,Male,Sourcing,1,24,4,2,No,69,Excellent
56246,Operations,Region_2,Masters & Above,Male,Other,1,52,5,8,No,59,Excellent
3901,Technology,Region_13,Masters & Above,Male,Other,1,38,5,2,No,88,Excellent
41566,Finance,Region_20,Bachelors,Male,Other,1,35,3,4,No,59,Average
55735,Technology,Region_31,Masters & Above,Male,Other,1,39,5,4,Yes,81,Excellent
53627,Procurement,Region_7,Bachelors,Male,Other,1,31,3,5,No,65,Average
62683,Operations,Region_27,Bachelors,Male,Sourcing,1,37,3,5,No,57,Average
44948,Operations,Region_30,Masters & Above,Female,Other,1,37,5,9,No,56,Excellent
26037,Analytics,Region_16,Bachelors,Male,Other,2,31,3,5,No,81,Average
30607,Analytics,Region_22,Bachelors,Male,Sourcing,1,28,5,4,No,85,Excellent
46103,Technology,Region_15,Bachelors,Male,Other,1,26,3,3,No,77,Average
6452,Finance,Region_2,Masters & Above,Male,Other,1,49,4,7,No,62,Excellent
47286,Procurement,Region_13,Bachelors,Female,Other,1,34,3,9,No,68,Average
44117,Finance,Region_4,Masters & Above,Female,Other,1,38,3,2,No,58,Average
1367,Sales & Marketing,Region_13,Masters & Above,Male,Other,1,52,4,4,No,51,Excellent
26228,Sales & Marketing,Region_22,Bachelors,Male,Sourcing,3,31,1,7,No,50,Poor
65694,Technology,Region_2,Bachelors,Female,Other,1,24,1,2,No,82,Poor
63901,Hr,Region_7,Bachelors,Male,Other,1,31,2,5,No,66,Poor
4701,Technology,Region_26,Bachelors,Female,Other,1,43,1,4,No,86,Poor
35341,Procurement,Region_4,Masters & Above,Male,Other,4,37,3,6,No,68,Average
10361,Hr,Region_2,Masters & Above,Male,Other,1,37,5,9,No,53,Excellent
6572,Operations,Region_29,Bachelors,Male,Other,1,32,5,8,No,58,Excellent
70408,Sales & Marketing,Region_26,Bachelors,Female,Other,1,30,4,2,No,53,Excellent
11774,Procurement,Region_20,Bachelors,Female,Other,1,30,5,4,No,71,Excellent
37873,Sales & Marketing,Region_7,Bachelors,Male,Sourcing,1,27,4,3,No,50,Excellent
3886,Sales & Marketing,Region_2,Bachelors,Male,Other,2,36,4,8,No,45,Excellent
23347,Technology,Region_9,Bachelors,Male,Sourcing,4,30,3,2,No,78,Average
3034,Procurement,Region_2,Masters & Above,Male,Sourcing,1,49,4,19,No,73,Excellent
30137,Sales & Marketing,Region_10,Masters & Above,Male,Other,1,38,5,5,No,63,Excellent
52431,Sales & Marketing,Region_30,Bachelors,Male,Other,1,29,3,6,No,51,Average
11061,Technology,Region_33,Bachelors,Male,Other,1,48,3,6,No,81,Average
9706,Sales & Marketing,Region_21,Bachelors,Male,Other,1,29,3,1,No,53,Average
17607,Analytics,Region_2,Masters & Above,Male,Other,1,59,4,13,No,82,Excellent
64986,Operations,Region_7,Bachelors,Female,Other,1,36,5,5,No,62,Excellent
8082,Finance,Region_13,Bachelors,Male,Other,1,28,3,3,No,59,Average
20982,Procurement,Region_22,Bachelors,Male,Other,2,27,4,2,No,68,Excellent
5794,Operations,Region_2,Bachelors,Male,Sourcing,1,25,3,2,No,62,Average
69381,Sales & Marketing,Region_26,Bachelors,Male,Other,1,30,5,6,No,52,Excellent
50176,Hr,Region_27,Below Secondary,Male,Other,1,23,3,1,No,51,Average
1612,Hr,Region_15,Bachelors,Female,Sourcing,1,28,3,1,No,50,Average
48923,Sales & Marketing,Region_2,Bachelors,Male,Other,1,38,4,5,No,48,Excellent
50366,Sales & Marketing,Region_22,Bachelors,Male,Sourcing,1,30,3,1,No,45,Average
48813,Hr,Region_2,Bachelors,Female,Other,1,53,4,21,No,53,Excellent
5574,Sales & Marketing,Region_8,Masters & Above,Male,Other,1,35,3,8,No,45,Average
57601,Hr,Region_2,Bachelors,Male,Other,1,45,3,14,No,53,Average
564,Operations,Region_32,Bachelors,Male,Other,1,39,3,8,No,58,Average
3864,Analytics,Region_13,Bachelors,Male,Other,1,46,4,6,No,82,Excellent
19598,Technology,Region_5,Bachelors,Male,Sourcing,2,29,3,3,No,79,Average
19513,Analytics,Region_6,Bachelors,Male,Other,1,28,3,1,No,84,Average
74965,Technology,Region_15,Bachelors,Female,Other,1,34,4,6,No,82,Excellent
42353,Sales & Marketing,Region_9,Bachelors,Male,Other,1,23,3,1,No,47,Average
13367,Sales & Marketing,Region_14,Bachelors,Male,Other,1,38,5,3,No,51,Excellent
38556,Hr,Region_22,Masters & Above,Male,Sourcing,1,32,3,5,No,52,Average
51344,Operations,Region_26,Bachelors,Male,Other,1,33,3,5,No,58,Average
28320,Procurement,Region_2,Bachelors,Female,Other,1,39,4,9,No,70,Excellent
56104,Procurement,Region_4,Masters & Above,Male,Other,4,36,3,6,No,71,Average
68882,Operations,Region_22,Bachelors,Male,Sourcing,2,33,4,4,No,59,Excellent
75800,Sales & Marketing,Region_2,Bachelors,Female,Other,1,29,4,6,No,45,Excellent
13223,R&D,Region_7,Bachelors,Female,Other,1,32,3,5,No,85,Average
62740,Sales & Marketing,Region_28,Bachelors,Female,Sourcing,1,26,3,2,No,46,Average
67233,Analytics,Region_32,Bachelors,Male,Sourcing,1,38,3,3,No,82,Average
49207,Procurement,Region_22,Masters & Above,Male,Sourcing,1,42,2,15,No,70,Poor
19053,Operations,Region_32,Bachelors,Female,Sourcing,1,30,5,6,No,60,Excellent
38096,Analytics,Region_22,Bachelors,Male,Sourcing,2,28,3,1,No,83,Average
46519,Sales & Marketing,Region_14,Bachelors,Male,Other,1,36,4,6,No,47,Excellent
2111,Procurement,Region_2,Bachelors,Female,Other,1,56,5,6,No,84,Excellent
69413,Sales & Marketing,Region_14,Bachelors,Female,Other,1,30,3,5,No,51,Average
53827,Sales & Marketing,Region_15,Bachelors,Male,Other,2,25,3,1,No,50,Average
40064,Hr,Region_7,Bachelors,Female,Other,1,29,5,6,No,49,Excellent
33502,Sales & Marketing,Region_7,Bachelors,Male,Other,1,36,2,7,No,47,Poor
15182,Technology,Region_14,Bachelors,Female,Other,1,39,3,4,No,80,Average
13593,Analytics,Region_26,Bachelors,Male,Sourcing,1,30,5,4,No,84,Excellent
15613,R&D,Region_2,Bachelors,Male,Other,2,42,3,9,No,84,Average
75751,Sales & Marketing,Region_26,Bachelors,Male,Sourcing,2,37,4,9,No,49,Excellent
71625,Procurement,Region_22,Bachelors,Male,Sourcing,1,31,2,2,No,66,Poor
37763,Sales & Marketing,Region_28,Masters & Above,Male,Sourcing,1,32,4,6,No,48,Excellent
10812,Operations,Region_15,Masters & Above,Male,Other,1,40,5,11,No,59,Excellent
67357,Finance,Region_2,Bachelors,Male,Sourcing,2,39,5,10,No,58,Excellent
49583,Sales & Marketing,Region_26,Bachelors,Male,Other,1,40,4,10,No,47,Excellent
45428,Hr,Region_22,Bachelors,Male,Sourcing,1,23,1,2,No,45,Poor
9978,Operations,Region_2,Bachelors,Male,Sourcing,2,28,3,1,No,60,Average
44266,Sales & Marketing,Region_7,Bachelors,Male,Other,1,37,2,4,No,51,Poor
47252,Finance,Region_2,Below Secondary,Male,Sourcing,1,23,3,1,No,58,Average
57884,Operations,Region_2,Bachelors,Male,Sourcing,1,37,3,9,No,61,Average
24334,Legal,Region_22,Bachelors,Male,Referred,1,29,5,3,No,54,Excellent
58892,Operations,Region_32,Bachelors,Female,Other,1,38,4,10,No,55,Excellent
40799,Operations,Region_22,Bachelors,Male,Other,2,39,4,10,No,57,Excellent
33879,Sales & Marketing,Region_22,Masters & Above,Male,Other,2,38,5,7,No,48,Excellent
24403,Procurement,Region_13,Bachelors,Male,Sourcing,1,34,3,4,No,69,Average
51150,Procurement,Region_15,Bachelors,Female,Other,1,48,5,21,No,69,Excellent
7722,R&D,Region_26,Masters & Above,Male,Other,1,29,5,4,No,82,Excellent
71271,Technology,Region_13,Masters & Above,Female,Other,1,37,4,7,No,81,Excellent
65909,Operations,Region_2,Bachelors,Female,Other,1,47,5,2,No,63,Excellent
8228,Sales & Marketing,Region_14,Bachelors,Male,Sourcing,1,31,1,3,No,50,Poor
52138,Analytics,Region_16,Bachelors,Male,Other,1,28,3,4,No,83,Average
22999,Finance,Region_28,Masters & Above,Female,Other,2,32,4,6,No,57,Excellent
29196,Procurement,Region_27,Bachelors,Female,Other,1,33,2,4,No,71,Poor
10663,Legal,Region_6,Bachelors,Male,Sourcing,2,28,3,1,No,58,Average
65651,Legal,Region_2,Bachelors,Male,Other,1,32,3,1,No,62,Average
17973,Operations,Region_6,Bachelors,Male,Sourcing,1,34,3,10,No,67,Average
10986,Sales & Marketing,Region_7,Bachelors,Male,Sourcing,1,38,5,3,No,52,Excellent
19355,Technology,Region_33,Bachelors,Male,Other,1,28,4,5,No,79,Excellent
75402,Analytics,Region_24,Masters & Above,Male,Other,1,34,3,3,No,87,Average
52587,Procurement,Region_2,Bachelors,Male,Other,1,44,2,16,No,70,Poor
41662,Procurement,Region_20,Bachelors,Male,Sourcing,1,28,3,4,No,69,Average
73944,Operations,Region_27,Bachelors,Female,Other,1,31,1,5,No,61,Poor
3987,Analytics,Region_29,Bachelors,Male,Other,1,34,2,5,No,84,Poor
40057,Procurement,Region_2,Below Secondary,Male,Other,1,22,3,2,No,71,Average
76195,Procurement,Region_2,Bachelors,Male,Other,1,20,3,1,No,76,Average
12411,Procurement,Region_11,Bachelors,Female,Other,1,32,3,7,No,66,Average
15161,Technology,Region_2,Masters & Above,Female,Other,1,43,3,6,No,80,Average
59084,Analytics,Region_2,Masters & Above,Female,Other,1,42,5,13,No,85,Excellent
53857,Hr,Region_7,Bachelors,Male,Other,1,41,3,8,No,54,Average
42772,Technology,Region_11,Bachelors,Female,Other,1,27,3,2,No,84,Average
5294,Finance,Region_2,Bachelors,Male,Sourcing,1,41,4,9,No,56,Excellent
56439,Technology,Region_23,Bachelors,Male,Other,1,26,5,2,No,76,Excellent
29998,Analytics,Region_34,Bachelors,Male,Other,1,35,5,10,No,85,Excellent
76599,Sales & Marketing,Region_28,Bachelors,Female,Sourcing,1,28,1,3,No,58,Poor
27424,Hr,Region_2,Bachelors,Female,Sourcing,1,50,1,9,No,46,Poor
45605,Sales & Marketing,Region_22,Masters & Above,Male,Other,1,29,3,1,Yes,46,Average
75833,Sales & Marketing,Region_7,Masters & Above,Male,Other,2,37,1,10,No,49,Poor
57068,Operations,Region_4,Bachelors,Male,Other,2,35,3,8,No,64,Average
70129,Sales & Marketing,Region_28,Masters & Above,Female,Other,1,29,4,4,No,51,Excellent
14733,Sales & Marketing,Region_6,Bachelors,Female,Sourcing,1,36,5,8,No,47,Excellent
71886,Technology,Region_5,Below Secondary,Male,Other,1,22,3,1,No,79,Average
7561,Finance,Region_2,Bachelors,Male,Other,1,36,3,3,No,55,Average
59522,Operations,Region_22,Bachelors,Female,Other,2,37,4,2,No,71,Excellent
44299,Analytics,Region_29,Bachelors,Male,Other,1,30,3,4,No,83,Average
29220,Finance,Region_2,Bachelors,Male,Sourcing,2,26,2,2,No,54,Poor
15869,Procurement,Region_13,Bachelors,Female,Sourcing,2,28,5,3,No,68,Excellent
51270,Operations,Region_15,Bachelors,Male,Other,1,49,4,9,No,61,Excellent
19212,Procurement,Region_21,Masters & Above,Male,Other,1,35,5,7,No,70,Excellent
70890,Technology,Region_24,Bachelors,Male,Other,1,32,2,6,No,90,Poor
31183,Sales & Marketing,Region_28,Masters & Above,Female,Sourcing,1,42,3,4,No,54,Average
46628,Technology,Region_4,Masters & Above,Male,Other,1,37,4,5,No,76,Excellent
44670,Sales & Marketing,Region_29,Bachelors,Male,Other,1,28,5,2,No,45,Excellent
70734,Procurement,Region_15,Bachelors,Male,Other,1,38,4,2,Yes,97,Excellent
47051,Analytics,Region_2,Bachelors,Male,Sourcing,2,39,4,5,No,86,Excellent
17760,Analytics,Region_27,Bachelors,Male,Other,1,28,5,2,No,87,Excellent
8180,Operations,Region_14,Bachelors,Male,Other,2,34,3,10,No,60,Average
24756,Operations,Region_22,Bachelors,Female,Other,1,37,3,3,No,63,Average
56780,Sales & Marketing,Region_2,Masters & Above,Female,Sourcing,2,38,1,6,No,51,Poor
59919,Finance,Region_2,Bachelors,Female,Sourcing,1,24,5,2,No,57,Excellent
18924,Sales & Marketing,Region_11,Masters & Above,Male,Other,1,36,3,7,No,52,Average
42477,Procurement,Region_2,Bachelors,Male,Other,1,41,2,15,No,70,Poor
50900,Operations,Region_22,Bachelors,Male,Other,2,29,3,1,No,60,Average
11824,Technology,Region_2,Masters & Above,Female,Sourcing,2,59,1,15,No,76,Poor
51740,Sales & Marketing,Region_12,Bachelors,Female,Sourcing,1,29,3,1,No,48,Average
51364,Operations,Region_22,Bachelors,Female,Other,1,29,5,3,No,57,Excellent
64265,Sales & Marketing,Region_13,Bachelors,Female,Sourcing,3,31,1,5,No,51,Poor
46233,Sales & Marketing,Region_28,Bachelors,Male,Sourcing,1,31,5,7,No,51,Excellent
41215,Sales & Marketing,Region_25,Bachelors,Female,Sourcing,1,31,4,3,No,50,Excellent
47172,Sales & Marketing,Region_26,Bachelors,Male,Other,1,32,3,4,No,47,Average
53542,Procurement,Region_26,Bachelors,Female,Other,1,49,4,8,No,68,Excellent
2121,Operations,Region_2,Masters & Above,Male,Other,1,42,5,11,No,59,Excellent
77677,Sales & Marketing,Region_11,Bachelors,Male,Other,1,32,5,7,No,49,Excellent
38018,Analytics,Region_11,Bachelors,Male,Other,1,30,3,4,No,80,Average
29799,Analytics,Region_4,Bachelors,Male,Other,1,32,5,8,No,86,Excellent
565,Procurement,Region_1,Bachelors,Female,Sourcing,2,29,1,2,No,74,Poor
33473,Sales & Marketing,Region_2,Bachelors,Male,Sourcing,2,31,1,6,No,50,Poor
14628,Sales & Marketing,Region_20,Bachelors,Male,Other,2,27,3,1,Yes,48,Average
46339,Operations,Region_34,Bachelors,Male,Other,1,30,3,2,No,58,Average
6352,Operations,Region_2,Bachelors,Female,Sourcing,1,48,4,8,No,60,Excellent
63568,Sales & Marketing,Region_2,Bachelors,Male,Sourcing,1,39,5,12,No,50,Excellent
15317,Analytics,Region_23,Masters & Above,Male,Sourcing,1,35,2,7,No,87,Poor
63035,Technology,Region_2,Bachelors,Female,Other,1,47,4,7,No,78,Excellent
22942,Sales & Marketing,Region_31,Masters & Above,Male,Other,1,46,5,3,No,51,Excellent
62212,Procurement,Region_31,Masters & Above,Female,Other,1,37,3,2,Yes,97,Average
49252,Operations,Region_19,Bachelors,Male,Other,1,26,5,6,No,60,Excellent
38520,Technology,Region_6,Bachelors,Female,Sourcing,1,31,5,4,No,87,Excellent
69109,Procurement,Region_20,Bachelors,Female,Other,1,28,2,4,No,69,Poor
67985,Operations,Region_4,Masters & Above,Female,Sourcing,2,36,1,6,Yes,65,Poor
74040,Technology,Region_24,Masters & Above,Female,Other,1,35,1,7,No,80,Poor
31049,Analytics,Region_13,Bachelors,Male,Sourcing,1,34,4,9,No,84,Excellent
55523,Analytics,Region_2,Masters & Above,Male,Sourcing,2,58,5,6,No,81,Excellent
40579,Sales & Marketing,Region_22,Masters & Above,Male,Sourcing,1,29,2,5,No,50,Poor
40211,Operations,Region_13,Bachelors,Male,Other,1,36,2,9,No,59,Poor
41982,R&D,Region_2,Bachelors,Male,Sourcing,1,30,1,4,No,84,Poor
24286,Hr,Region_2,Masters & Above,Female,Other,1,40,3,10,No,49,Average
53696,Procurement,Region_15,Bachelors,Male,Other,1,38,3,4,No,71,Average
47130,Sales & Marketing,Region_11,Bachelors,Male,Other,1,36,2,5,No,52,Poor
25340,Sales & Marketing,Region_2,Bachelors,Male,Other,1,41,4,9,No,49,Excellent
16794,Procurement,Region_22,Masters & Above,Male,Other,1,33,5,5,No,66,Excellent
10399,Technology,Region_31,Bachelors,Male,Sourcing,1,29,1,4,No,79,Poor
9095,Operations,Region_22,Masters & Above,Female,Other,1,33,4,8,No,81,Excellent
60624,Sales & Marketing,Region_7,Masters & Above,Female,Other,1,41,1,2,No,47,Poor
30188,Procurement,Region_2,Masters & Above,Male,Other,2,41,3,10,No,67,Average
19292,Operations,Region_13,Masters & Above,Male,Other,1,41,3,4,No,60,Average
58780,Technology,Region_7,Bachelors,Female,Other,1,28,4,5,No,76,Excellent
33674,Sales & Marketing,Region_7,Masters & Above,Female,Sourcing,1,32,5,7,No,53,Excellent
17128,Technology,Region_8,Bachelors,Male,Other,1,25,3,3,No,77,Average
28127,Technology,Region_13,Below Secondary,Female,Sourcing,1,24,2,2,No,85,Poor
42650,Sales & Marketing,Region_7,Bachelors,Male,Other,1,53,4,10,No,45,Excellent
58393,Sales & Marketing,Region_25,Masters & Above,Male,Sourcing,1,38,5,12,No,49,Excellent
72037,Legal,Region_22,Bachelors,Male,Sourcing,1,31,3,3,No,62,Average
33736,Sales & Marketing,Region_2,Bachelors,Female,Other,2,51,3,17,No,52,Average
51260,Operations,Region_14,Masters & Above,Male,Sourcing,1,42,3,4,No,59,Average
21326,Operations,Region_2,Masters & Above,Male,Other,1,56,5,16,No,59,Excellent
7784,Sales & Marketing,Region_4,Bachelors,Male,Other,1,48,4,9,No,46,Excellent
33540,Procurement,Region_2,Masters & Above,Male,Sourcing,1,56,3,2,No,65,Average
14669,Technology,Region_26,Bachelors,Male,Referred,1,27,3,1,No,79,Average
53267,R&D,Region_26,Bachelors,Male,Other,1,31,4,6,No,84,Excellent
51294,Procurement,Region_22,Masters & Above,Male,Sourcing,2,33,3,3,No,72,Average
